CustomerID,CustomerName,EstimatedTime
C171,Queenie,15
C390,Yara,15
C998,Ray,15
C777,Tom,15
C747,Leo,15
C475,Bob,16
C304,Wendy,15
C987,Ella,16
C236,Ray,16
C379,Jack,16
C864,Olivia,16
C205,Grace,16
C388,Ella,16
C709,Bob,16
C746,Olivia,16
C645,Olivia,16
C751,Ray,16
C966,Isla,16
C697,Tom,16
C305,Charlie,16
C937,Zack,16
C1096,David,16
C500,Jack,16
C509,Isla,16
C736,Zack,17
C142,Yara,17
C1008,Charlie,17
C327,Tom,17
C983,Alice,17
C671,Jack,17
C1018,Bob,17
C104,Mona,17
C246,Isla,17
C103,Zack,17
C179,Xander,17
C1089,Leo,17
C909,Wendy,18
C195,Ray,18
C939,Nate,18
C1007,Tom,18
C282,Zack,18
C314,David,18
C128,Alice,18
C560,Paul,18
C412,Alice,18
C490,Jack,18
C773,Yara,18
C884,Olivia,18
C865,Zack,19
C456,Victor,19
C954,Sara,19
C369,Uma,19
C733,Ray,19
C144,Leo,19
C1009,Ray,19
C599,Leo,19
C951,Alice,19
C960,Henry,19
C967,Leo,19
C269,Sara,19
C418,Ella,19
C1097,Tom,20
C502,Alice,20
C355,Bob,20
C548,Charlie,20
C364,Tom,20
C931,Henry,20
C133,Yara,20
C386,Uma,20
C623,Wendy,20
C866,Charlie,21
C643,Frank,21
C596,Olivia,21
C1021,Wendy,21
C917,David,21
C657,Mona,21
C706,Ray,22
C673,Sara,22
C529,Ella,22
C226,Frank,22
C600,Henry,22
C800,Leo,22
C277,Frank,22
C333,Alice,22
C340,Jack,22
C828,Victor,22
C351,Nate,22
C1004,Nate,22
C859,Uma,22
C248,Ray,22
C526,Wendy,22
C150,Paul,23
C677,Sara,23
C989,Ray,23
C938,Sara,23
C892,Frank,23
C783,Victor,23
C891,Victor,23
C524,Grace,23
C878,Bob,23
C851,Yara,24
C785,Leo,24
C345,Xander,24
C602,Ella,24
C505,Ray,24
C793,Charlie,24
C764,Isla,24
C971,Henry,24
C139,Alice,24
C389,Isla,24
C893,Yara,24
C918,Frank,24
C616,Henry,25
C565,Zack,25
C434,Henry,25
C300,Isla,25
C871,Jack,25
C625,Nate,25
C680,Jack,25
C113,Nate,25
C710,Queenie,25
C797,Isla,25
C980,Bob,25
C729,Ella,25
C761,Ray,25
C767,Charlie,25
C174,Henry,26
C814,Yara,26
C394,Frank,26
C985,Jack,26
C637,Charlie,26
C551,Tom,26
C558,Ella,26
C714,Yara,26
C210,Alice,26
C1066,Xander,26
C311,Frank,26
C352,Ray,27
C381,David,27
C1013,Nate,27
C847,Xander,27
C936,Grace,27
C447,Yara,27
C887,Wendy,27
C249,Xander,28
C1045,Paul,28
C988,Uma,28
C443,Henry,28
C469,Victor,28
C674,Victor,28
C486,David,28
C1099,Isla,28
C514,Karen,28
C555,Olivia,28
C817,Yara,29
C588,Queenie,29
C118,Victor,29
C178,Karen,29
C993,Queenie,29
C787,Sara,29
C567,Queenie,30
C1069,Xander,30
C852,Queenie,30
C545,Yara,30
C267,Olivia,30
C1054,David,30
C961,Alice,30
C309,Leo,30
C942,Uma,30
C923,Olivia,30
C804,Sara,30
C806,Paul,30
C106,Ray,30
C776,Bob,30
C1071,Ella,31
C315,Paul,31
C611,Charlie,31
C471,Nate,31
C1003,Leo,31
C976,Karen,31
C945,Ella,31
C932,Charlie,31
C463,Leo,31
C597,Paul,31
