CustomerID,CustomerName,EstimatedTime
C101,Tom,31
C102,Karen,55
C103,Zack,17
C104,Mona,17
C105,Olivia,58
C106,Ray,30
C107,Sara,108
C108,Ella,89
C109,Frank,117
C110,Sara,119
C111,Ella,77
C112,Ella,77
C113,Nate,25
C114,Karen,103
C115,Ray,57
C116,Ray,43
C117,Charlie,93
C118,Victor,29
C119,Mona,68
C120,David,93
C121,Alice,57
C122,Jack,66
C123,Paul,117
C124,Karen,72
C125,Ella,115
C126,Mona,106
C127,Alice,66
C128,Alice,18
C129,Xander,96
C130,Yara,96
C131,Ray,93
C132,Frank,34
C133,Yara,20
C134,Ray,111
C135,Olivia,43
C136,Uma,90
C137,Zack,73
C138,Mona,93
C139,Alice,24
C140,Queenie,119
C141,Jack,87
C142,Yara,17
C143,Paul,64
C144,Leo,19
C145,Nate,50
C146,Sara,108
C147,Leo,77
C148,Tom,81
C149,Nate,42
C150,Paul,23
C151,Olivia,35
C152,Charlie,104
C153,Frank,101
C154,Xander,67
C155,Frank,92
C156,Alice,76
C157,Frank,63
C158,Karen,64
C159,Wendy,82
C160,Karen,73
C161,Yara,85
C162,Sara,91
C163,Frank,69
C164,Karen,44
C165,Wendy,77
C166,Ray,51
C167,Tom,58
C168,David,72
C169,Olivia,113
C170,Charlie,58
C171,Queenie,15
C172,Xander,42
C173,Victor,114
C174,Henry,26
C175,David,38
C176,Frank,112
C177,Charlie,67
C178,Karen,29
C179,Xander,17
C180,Xander,44
C181,Jack,43
C182,Sara,113
C183,Grace,115
C184,Henry,94
C185,Wendy,38
C186,Queenie,52
C187,Yara,119
C188,Alice,100
C189,Sara,115
C190,Paul,43
C191,Mona,105
C192,Queenie,57
C193,Uma,49
C194,David,91
C195,Ray,18
C196,Nate,97
C197,Henry,50
C198,Uma,95
C199,Zack,102
C200,Zack,116
