CustomerID,CustomerName,EstimatedTime
C332,Leo,120
C187,Yara,119
C554,Queenie,119
C306,Ray,119
C110,Sara,119
C318,Henry,119
C479,Paul,119
C140,Queenie,119
C356,Grace,119
C218,Ella,119
C202,Leo,119
C363,Tom,119
C585,Wendy,119
C214,Isla,118
C328,Leo,118
C228,Paul,118
C353,Yara,118
C395,Bob,118
C123,Paul,117
C361,Nate,117
C209,Bob,117
C517,Jack,117
C109,Frank,117
C331,Ella,117
C234,Zack,117
C212,Uma,116
C200,Zack,116
C339,Jack,116
C240,Wendy,116
C288,Queenie,115
C291,Sara,115
C189,Sara,115
C478,Sara,115
C183,Grace,115
C522,Sara,115
C125,Ella,115
C417,Grace,114
C260,Isla,114
C173,Victor,114
C233,Ray,113
C326,Zack,113
C320,Isla,113
C590,David,113
C182,Sara,113
C436,Uma,113
C169,Olivia,113
C468,Henry,113
C272,Frank,112
C546,Tom,112
C460,Victor,112
C241,Charlie,112
C176,Frank,112
C134,Ray,111
C508,Wendy,111
C520,Ella,111
C411,Paul,111
C457,Karen,111
C290,Bob,110
C493,Isla,110
C598,Leo,110
C254,Henry,110
C368,Paul,110
C230,Sara,110
C255,Charlie,109
C264,Karen,109
C518,Alice,109
C346,Queenie,108
C582,Henry,108
C107,Sara,108
C515,Zack,108
C146,Sara,108
C450,Xander,108
C299,David,108
C316,Alice,107
C595,Queenie,107
C476,Karen,107
C281,Sara,106
C126,Mona,106
C488,Mona,106
C512,Frank,106
C441,Frank,105
C220,Ella,105
C419,Uma,105
C191,Mona,105
C317,Uma,105
C263,Xander,105
C268,Paul,104
C325,Uma,104
C152,Charlie,104
C503,Bob,104
C453,David,104
C473,Frank,104
C402,Karen,103
C251,Nate,103
C114,Karen,103
C243,Ray,103
C199,Zack,102
C399,Olivia,102
C280,Wendy,102
C330,Wendy,101
C153,Frank,101
C409,Henry,101
C256,Tom,101
C270,Alice,101
C513,Paul,100
C188,Alice,100
C446,Mona,100
C360,Yara,100
C566,Bob,100
C521,Uma,100
C413,Isla,99
C387,Alice,99
C427,Olivia,99
C444,David,99
C574,Bob,98
C398,Henry,98
C337,Xander,98
C562,Charlie,98
C549,Grace,98
C462,Queenie,98
C489,Tom,97
C196,Nate,97
C242,Uma,97
C130,Yara,96
C129,Xander,96
C257,Frank,96
C415,Ella,96
C373,Jack,96
C499,Ray,96
C222,Ray,96
C564,Ella,96
C247,Xander,96
C580,Grace,96
C198,Uma,95
C367,Leo,94
C184,Henry,94
C224,Sara,94
C289,Sara,94
C350,Charlie,94
C533,Ella,94
C117,Charlie,93
C120,David,93
C232,Olivia,93
C405,Charlie,93
C227,Yara,93
C131,Ray,93
C138,Mona,93
C276,Isla,93
C213,Grace,93
C334,Isla,92
C338,Charlie,92
C482,Wendy,92
C155,Frank,92
C530,Tom,92
C378,Mona,91
C250,Jack,91
C570,Xander,91
C194,David,91
C207,Uma,91
C162,Sara,91
C336,Uma,90
C136,Uma,90
C581,Tom,90
C406,Jack,89
C487,Henry,89
C343,Sara,89
C484,Bob,89
C108,Ella,89
C341,Isla,89
C527,Leo,89
C589,Jack,89
C208,Charlie,89
C481,Alice,89
C511,Ella,89
C440,Sara,88
C259,Ray,88
C587,Yara,88
C358,Grace,87
C141,Jack,87
C321,Karen,87
C559,Charlie,87
C464,Paul,86
C344,David,86
C449,Paul,86
C491,Victor,86
C391,Grace,85
C203,Queenie,85
C161,Yara,85
C424,Victor,85
C206,Leo,83
C377,Paul,83
C540,Ray,83
C575,Zack,82
C485,Sara,82
C159,Wendy,82
C429,Nate,82
C375,Frank,82
C296,Leo,82
C148,Tom,81
C497,Grace,81
C591,Wendy,81
C287,Victor,81
C593,Ray,81
C362,Jack,81
C538,Ella,80
C421,Charlie,80
C510,David,80
C245,Xander,79
C537,Olivia,79
C435,Isla,79
C335,David,78
C534,Uma,78
C586,Olivia,78
C298,Sara,78
C229,Karen,78
C431,Leo,78
C266,Yara,78
C147,Leo,77
C295,Wendy,77
C504,Grace,77
C165,Wendy,77
C112,Ella,77
C451,Queenie,77
C111,Ella,77
C156,Alice,76
C303,Ray,76
C323,Leo,76
C454,Victor,75
C466,Karen,75
C452,Alice,75
C286,Frank,75
C396,Nate,74
C573,Victor,74
C531,Leo,74
C231,Henry,74
C372,Frank,73
C519,Leo,73
C536,Nate,73
C470,Jack,73
C425,David,73
C137,Zack,73
C383,Wendy,73
C160,Karen,73
C384,Yara,73
C168,David,72
C366,Ray,72
C253,Leo,72
C124,Karen,72
C374,Frank,72
C357,Wendy,70
C279,Alice,70
C271,Xander,70
C307,Henry,70
C319,Wendy,70
C163,Frank,69
C532,Tom,69
C459,Uma,69
C294,Ray,68
C458,Victor,68
C119,Mona,68
C430,Olivia,68
C225,Nate,67
C292,Victor,67
C177,Charlie,67
C154,Xander,67
C359,Tom,67
C423,Wendy,66
C301,Xander,66
C127,Alice,66
C349,Ray,66
C122,Jack,66
C275,Ella,65
C312,Xander,65
C516,Victor,65
C239,Karen,64
C273,Ray,64
C143,Paul,64
C528,Alice,64
C577,Sara,64
C561,Frank,64
C158,Karen,64
C433,Jack,63
C238,Alice,63
C221,Uma,63
C293,Yara,63
C376,Mona,63
C578,Victor,63
C576,Olivia,63
C157,Frank,63
C217,Wendy,63
C416,Bob,62
C354,Paul,61
C523,Nate,61
C583,Wendy,61
C261,Bob,60
C284,Wendy,59
C370,Paul,59
C557,Frank,59
C382,Bob,59
C494,Grace,59
C105,Olivia,58
C167,Tom,58
C408,Isla,58
C579,Yara,58
C448,Grace,58
C170,Charlie,58
C310,Bob,58
C192,Queenie,57
C115,Ray,57
C121,Alice,57
C539,David,56
C563,Nate,56
C223,Xander,56
C420,Mona,56
C496,Yara,56
C592,Victor,56
C262,Isla,56
C439,Leo,56
C472,Ella,55
C283,Sara,55
C302,Wendy,55
C285,Grace,55
C477,Alice,55
C102,Karen,55
C547,Yara,54
C407,Yara,54
C380,Charlie,54
C498,Mona,54
C258,Jack,54
C324,Wendy,53
C432,Alice,53
C371,David,53
C474,Alice,53
C480,Nate,52
C569,Mona,52
C186,Queenie,52
C166,Ray,51
C322,Karen,51
C535,Grace,50
C197,Henry,50
C568,Olivia,50
C550,Jack,50
C544,Xander,50
C145,Nate,50
C400,Frank,50
C584,Zack,49
C193,Uma,49
C365,Wendy,49
C410,Zack,48
C506,Nate,48
C401,Olivia,48
C492,Alice,47
C204,Charlie,47
C211,Xander,46
C594,Charlie,46
C465,Zack,45
C483,Nate,45
C348,Xander,45
C164,Karen,44
C180,Xander,44
C525,David,44
C135,Olivia,43
C572,Henry,43
C190,Paul,43
C437,Grace,43
C116,Ray,43
C235,Jack,43
C181,Jack,43
C172,Xander,42
C216,David,42
C445,Frank,42
C403,Bob,42
C467,Alice,42
C201,Olivia,42
C149,Nate,42
C278,Charlie,41
C571,Uma,41
C507,Alice,41
C461,Wendy,40
C542,Ella,40
C556,Tom,40
C426,Uma,40
C404,Karen,40
C347,Grace,40
C237,David,39
C455,Victor,39
C385,Jack,39
C342,Tom,39
C543,Paul,39
C219,Tom,39
C215,Isla,39
C175,David,38
C185,Wendy,38
C265,Xander,38
C393,Ella,38
C541,Olivia,38
C552,Zack,37
C553,Yara,37
C501,Zack,37
C442,Grace,37
C274,Henry,37
C392,David,37
C397,Charlie,37
C297,Grace,36
C414,Xander,36
C151,Olivia,35
C428,Paul,34
C329,Xander,34
C132,Frank,34
C308,Olivia,34
C422,Ella,32
C438,Xander,32
C313,Wendy,32
C495,Grace,32
C101,Tom,31
C471,Nate,31
C315,Paul,31
C597,Paul,31
C244,Bob,31
C463,Leo,31
C252,Yara,31
C545,Yara,30
C567,Queenie,30
C267,Olivia,30
C309,Leo,30
C106,Ray,30
C178,Karen,29
C588,Queenie,29
C118,Victor,29
C249,Xander,28
C486,David,28
C443,Henry,28
C514,Karen,28
C469,Victor,28
C555,Olivia,28
C381,David,27
C447,Yara,27
C352,Ray,27
C558,Ella,26
